,NGVT_Open,NGVT_High,NGVT_Low,NGVT_Close,NGVT_Adj Close,NGVT_Volume,NGVT_Dividend Amount,NGVT_Split Coefficient
2020-06-03,57.91,59.8,57.25,57.88,57.88,493063,0.0,1.0
2020-06-02,54.05,56.66,54.04,56.3,56.3,241128,0.0,1.0
2020-06-01,53.18,54.74,52.67,53.61,53.61,465424,0.0,1.0
2020-05-29,52.17,53.5,51.04,52.67,52.67,437518,0.0,1.0
2020-05-28,59.11,59.22,53.26,53.54,53.54,560406,0.0,1.0
2020-05-27,56.4,57.95,55.1,57.8,57.8,579927,0.0,1.0
2020-05-26,54.45,55.55,53.8737,54.53,54.53,402778,0.0,1.0
2020-05-22,52.02,52.315,50.65,51.46,51.46,209950,0.0,1.0
2020-05-21,52.39,52.94,51.01,51.45,51.45,250193,0.0,1.0
2020-05-20,50.36,52.545,50.36,52.26,52.26,342875,0.0,1.0
2020-05-19,50.17,51.43,48.89,49.2,49.2,296897,0.0,1.0
2020-05-18,48.01,51.26,48.01,50.95,50.95,391272,0.0,1.0
2020-05-15,45.46,46.61,44.78,45.83,45.83,267493,0.0,1.0
2020-05-14,42.75,45.79,41.52,45.71,45.71,392601,0.0,1.0
2020-05-13,46.97,47.58,43.5,44.13,44.13,443448,0.0,1.0
2020-05-12,51.39,51.68,47.67,47.68,47.68,420604,0.0,1.0
2020-05-11,47.67,51.03,46.05,50.89,50.89,896692,0.0,1.0
2020-05-08,47.36,48.44,46.81,48.44,48.44,341708,0.0,1.0
2020-05-07,46.45,47.3599,45.95,46.3,46.3,389874,0.0,1.0
2020-05-06,46.83,47.603,45.1,45.29,45.29,632118,0.0,1.0
2020-05-05,48.93,50.17,46.495,46.6,46.6,614792,0.0,1.0
2020-05-04,46.57,48.2,45.99,47.74,47.74,401387,0.0,1.0
2020-05-01,49.73,50.0481,46.4,47.88,47.88,792116,0.0,1.0
2020-04-30,49.41,53.57,46.93,51.92,51.92,1572241,0.0,1.0
2020-04-29,44.4,45.74,43.08,44.92,44.92,803614,0.0,1.0
2020-04-28,41.79,42.81,40.855,42.54,42.54,837743,0.0,1.0
2020-04-27,39.72,40.81,39.33,40.24,40.24,471107,0.0,1.0
2020-04-24,38.27,39.14,37.82,38.97,38.97,372263,0.0,1.0
2020-04-23,38.47,38.86,37.29,38.08,38.08,462132,0.0,1.0
2020-04-22,38.83,39.075,37.69,38.09,38.09,238094,0.0,1.0
2020-04-21,36.96,38.62,36.5,37.7,37.7,482915,0.0,1.0
2020-04-20,38.31,39.22,37.3,38.28,38.28,346254,0.0,1.0
2020-04-17,39.54,41.08,39.1,39.67,39.67,763142,0.0,1.0
2020-04-16,38.09,38.82,35.97,37.91,37.91,620727,0.0,1.0
2020-04-15,38.54,39.54,37.23,38.03,38.03,679285,0.0,1.0
2020-04-14,42.2,42.95,39.6201,40.34,40.34,525333,0.0,1.0
2020-04-13,42.63,43.04,40.43,41.16,41.16,434782,0.0,1.0
2020-04-09,42.65,44.59,41.26,42.93,42.93,808678,0.0,1.0
2020-04-08,38.78,41.61,38.33,40.97,40.97,612862,0.0,1.0
2020-04-07,40.08,41.08,37.65,38.11,38.11,555972,0.0,1.0
2020-04-06,36.41,39.48,36.41,38.47,38.47,556016,0.0,1.0
2020-04-03,35.09,36.02,32.6713,34.66,34.66,863762,0.0,1.0
2020-04-02,35.27,38.23,35.09,36.36,36.36,720626,0.0,1.0
2020-04-01,33.58,36.5,33.18,35.12,35.12,739716,0.0,1.0
2020-03-31,33.96,35.51,32.9748,35.2,35.2,690558,0.0,1.0
2020-03-30,33.3,34.42,31.845,33.78,33.78,733317,0.0,1.0
2020-03-27,34.31,35.47,32.44,33.47,33.47,411423,0.0,1.0
2020-03-26,33.59,36.8,33.2134,36.0,36.0,710596,0.0,1.0
2020-03-25,31.5,34.48,30.9,32.73,32.73,798298,0.0,1.0
2020-03-24,29.72,32.3,29.56,31.26,31.26,611721,0.0,1.0
2020-03-23,28.27,29.52,26.49,28.72,28.72,759207,0.0,1.0
2020-03-20,31.54,32.91,27.77,28.16,28.16,915290,0.0,1.0
2020-03-19,27.2,32.44,26.15,31.23,31.23,761627,0.0,1.0
2020-03-18,30.71,31.47,24.92,27.84,27.84,810975,0.0,1.0
2020-03-17,35.65,35.8966,31.01,32.94,32.94,865497,0.0,1.0
2020-03-16,34.87,37.21,33.36,35.12,35.12,889038,0.0,1.0
2020-03-13,37.58,38.17,33.57,37.83,37.83,711203,0.0,1.0
2020-03-12,35.28,35.88,31.43,34.48,34.48,702385,0.0,1.0
2020-03-11,39.36,40.62,38.32,38.8,38.8,943345,0.0,1.0
2020-03-10,39.76,41.64,38.07,40.89,40.89,1367361,0.0,1.0
2020-03-09,42.27,43.05,37.43,37.69,37.69,848049,0.0,1.0
2020-03-06,44.68,48.87,44.68,46.89,46.89,570685,0.0,1.0
2020-03-05,47.71,47.73,44.87,46.74,46.74,745345,0.0,1.0
2020-03-04,49.08,50.46,48.13,49.26,49.26,746853,0.0,1.0
2020-03-03,48.86,50.56,47.47,48.21,48.21,894096,0.0,1.0
2020-03-02,46.04,49.27,44.44,49.13,49.13,756216,0.0,1.0
2020-02-28,45.71,46.89,42.67,45.04,45.04,1164473,0.0,1.0
2020-02-27,47.67,49.36,46.075,47.32,47.32,814156,0.0,1.0
2020-02-26,51.05,51.64,48.37,48.67,48.67,533889,0.0,1.0
2020-02-25,55.32,55.32,50.63,50.75,50.75,681141,0.0,1.0
2020-02-24,56.0,56.1304,53.83,54.73,54.73,413784,0.0,1.0
2020-02-21,59.25,60.79,54.68,58.49,58.49,1074414,0.0,1.0
2020-02-20,64.83,65.54,62.86,62.92,62.92,472068,0.0,1.0
2020-02-19,65.6,66.21,64.61,65.16,65.16,308693,0.0,1.0
2020-02-18,66.37,66.94,64.54,65.0,65.0,283741,0.0,1.0
2020-02-14,66.13,67.69,66.13,66.84,66.84,351726,0.0,1.0
2020-02-13,65.71,66.6,65.4,66.3,66.3,340278,0.0,1.0
2020-02-12,66.41,66.87,65.42,66.23,66.23,458926,0.0,1.0
2020-02-11,66.16,67.51,65.39,65.76,65.76,353843,0.0,1.0
2020-02-10,66.71,67.49,65.78,65.81,65.81,522374,0.0,1.0
2020-02-07,66.48,67.53,65.72,66.84,66.84,702810,0.0,1.0
2020-02-06,65.73,66.15,62.751,65.12,65.12,650050,0.0,1.0
2020-02-05,64.09,66.65,64.02,65.51,65.51,797214,0.0,1.0
2020-02-04,64.27,64.86,63.27,63.35,63.35,777019,0.0,1.0
2020-02-03,66.31,69.53,62.53,63.02,63.02,806224,0.0,1.0
2020-01-31,66.22,66.44,62.9,65.22,65.22,1420952,0.0,1.0
2020-01-30,68.02,68.64,64.72,66.56,66.56,1107422,0.0,1.0
2020-01-29,73.99,74.95,68.93,69.0,69.0,844646,0.0,1.0
2020-01-28,74.9,75.26,73.78,73.82,73.82,161094,0.0,1.0
2020-01-27,75.89,75.89,74.13,74.37,74.37,331301,0.0,1.0
2020-01-24,80.0,80.24,77.57,77.88,77.88,248836,0.0,1.0
2020-01-23,79.98,79.98,78.29,78.84,78.84,186961,0.0,1.0
2020-01-22,80.98,81.45,79.79,80.71,80.71,222539,0.0,1.0
2020-01-21,82.06,82.065,80.3832,80.45,80.45,208412,0.0,1.0
2020-01-17,83.98,83.98,82.24,82.56,82.56,224840,0.0,1.0
2020-01-16,83.74,84.78,82.79,83.24,83.24,264343,0.0,1.0
2020-01-15,81.94,84.48,81.94,83.27,83.27,400648,0.0,1.0
2020-01-14,80.28,83.11,79.84,82.29,82.29,423943,0.0,1.0
2020-01-13,79.1,80.95,78.56,80.32,80.32,549322,0.0,1.0
2020-01-10,80.16,80.495,78.82,78.96,78.96,309833,0.0,1.0
2020-01-09,81.36,81.415,79.67,79.95,79.95,374141,0.0,1.0
2020-01-08,81.49,81.95,79.542,80.77,80.77,606583,0.0,1.0
2020-01-07,81.34,83.19,81.0548,81.53,81.53,208454,0.0,1.0
2020-01-06,83.24,83.59,81.58,81.72,81.72,295345,0.0,1.0
2020-01-03,84.56,85.53,84.33,84.44,84.44,279539,0.0,1.0
2020-01-02,87.7,88.015,84.47,86.29,86.29,268145,0.0,1.0
2019-12-31,86.38,88.54,86.38,87.38,87.38,173303,0.0,1.0
2019-12-30,86.97,87.48,86.22,86.37,86.37,172588,0.0,1.0
2019-12-27,88.12,88.58,86.795,86.96,86.96,131367,0.0,1.0
2019-12-26,88.35,88.59,87.39,87.66,87.66,75086,0.0,1.0
2019-12-24,90.02,90.18,87.51,88.13,88.13,62780,0.0,1.0
2019-12-23,87.54,90.2,86.58,90.08,90.08,454967,0.0,1.0
2019-12-20,88.6,88.73,86.34,86.98,86.98,758480,0.0,1.0
2019-12-19,88.82,89.66,88.37,88.6,88.6,191961,0.0,1.0
2019-12-18,89.43,89.46,88.35,88.65,88.65,112509,0.0,1.0
2019-12-17,89.24,89.4,88.26,88.84,88.84,189994,0.0,1.0
2019-12-16,89.43,90.94,88.29,88.64,88.64,286373,0.0,1.0
2019-12-13,90.23,90.87,88.12,88.3,88.3,207314,0.0,1.0
2019-12-12,89.74,91.29,89.17,90.13,90.13,312638,0.0,1.0
2019-12-11,88.52,89.97,87.93,89.74,89.74,176237,0.0,1.0
2019-12-10,88.33,89.03,87.62,88.17,88.17,139032,0.0,1.0
2019-12-09,88.65,89.8,88.54,88.58,88.58,165326,0.0,1.0
2019-12-06,88.93,90.65,88.48,88.71,88.71,305355,0.0,1.0
2019-12-05,90.23,90.92,89.36,89.81,89.81,164174,0.0,1.0
2019-12-04,89.69,92.25,89.4895,89.82,89.82,148374,0.0,1.0
2019-12-03,87.56,88.91,86.24,88.55,88.55,163279,0.0,1.0
2019-12-02,91.0,91.26,89.06,89.13,89.13,182968,0.0,1.0
2019-11-29,92.13,92.23,90.21,90.31,90.31,70177,0.0,1.0
2019-11-27,91.94,93.01,91.03,92.58,92.58,127229,0.0,1.0
2019-11-26,90.18,91.98,89.63,91.38,91.38,302591,0.0,1.0
2019-11-25,89.31,90.585,88.81,89.96,89.96,444774,0.0,1.0
2019-11-22,89.1,89.745,88.35,88.54,88.54,144366,0.0,1.0
2019-11-21,89.36,89.71,87.55,88.34,88.34,233068,0.0,1.0
2019-11-20,92.67,93.25,89.07,89.21,89.21,318184,0.0,1.0
2019-11-19,92.14,94.11,91.25,93.33,93.33,284753,0.0,1.0
2019-11-18,90.67,91.68,89.985,91.38,91.38,174104,0.0,1.0
2019-11-15,90.61,91.98,90.38,91.15,91.15,157882,0.0,1.0
2019-11-14,89.09,90.45,88.77,89.8,89.8,173502,0.0,1.0
2019-11-13,89.3,89.8,87.84,89.75,89.75,147598,0.0,1.0
2019-11-12,89.61,90.8,89.06,90.73,90.73,165973,0.0,1.0
2019-11-11,91.14,91.69,89.35,89.6,89.6,158828,0.0,1.0
2019-11-08,93.96,94.67,91.92,92.7,92.7,226874,0.0,1.0
2019-11-07,92.14,94.12,91.8464,94.05,94.05,255300,0.0,1.0
2019-11-06,90.63,91.414,89.66,90.76,90.76,303074,0.0,1.0
2019-11-05,90.02,91.84,90.0,91.24,91.24,325886,0.0,1.0
2019-11-04,88.17,89.97,87.46,89.74,89.74,290728,0.0,1.0
2019-11-01,85.17,88.32,84.72,87.32,87.32,188784,0.0,1.0
2019-10-31,85.1,85.1,83.49,84.21,84.21,236974,0.0,1.0
2019-10-30,87.55,87.55,84.33,85.27,85.27,207503,0.0,1.0
2019-10-29,86.28,88.3,86.1,87.95,87.95,345794,0.0,1.0
2019-10-28,85.03,87.46,85.03,86.97,86.97,317207,0.0,1.0
2019-10-25,84.68,85.33,82.35,84.66,84.66,323659,0.0,1.0
2019-10-24,89.0,89.0,81.01,86.02,86.02,609636,0.0,1.0
2019-10-23,84.39,84.39,82.33,82.69,82.69,525696,0.0,1.0
2019-10-22,84.81,85.41,83.65,84.61,84.61,179595,0.0,1.0
2019-10-21,86.26,87.08,84.86,84.91,84.91,213635,0.0,1.0
2019-10-18,84.66,85.96,84.07,84.95,84.95,176397,0.0,1.0
2019-10-17,84.25,85.58,83.38,85.24,85.24,201620,0.0,1.0
2019-10-16,83.49,86.92,83.48,83.92,83.92,230851,0.0,1.0
2019-10-15,84.97,84.97,83.11,83.32,83.32,323471,0.0,1.0
2019-10-14,83.94,85.79,82.58,84.63,84.63,340175,0.0,1.0
2019-10-11,79.99,85.61,79.41,84.77,84.77,367467,0.0,1.0
2019-10-10,80.0,80.245,75.62,78.04,78.04,472992,0.0,1.0
2019-10-09,81.26,81.26,79.975,80.8,80.8,107678,0.0,1.0
2019-10-08,80.87,81.64,79.49,79.95,79.95,147119,0.0,1.0
2019-10-07,83.04,84.23,82.42,82.53,82.53,214810,0.0,1.0
2019-10-04,82.57,84.2,82.23,83.63,83.63,147486,0.0,1.0
2019-10-03,81.08,82.57,79.79,82.5,82.5,168421,0.0,1.0
2019-10-02,80.62,81.86,79.66,81.79,81.79,251707,0.0,1.0
2019-10-01,85.7,87.06,81.46,81.53,81.53,269028,0.0,1.0
2019-09-30,85.09,85.61,83.37,84.84,84.84,346191,0.0,1.0
2019-09-27,83.93,85.47,83.47,85.04,85.04,350754,0.0,1.0
2019-09-26,84.37,84.37,83.0,83.56,83.56,250345,0.0,1.0
2019-09-25,82.79,85.365,82.33,85.0,85.0,193789,0.0,1.0
2019-09-24,85.61,85.81,82.51,83.27,83.27,281762,0.0,1.0
2019-09-23,86.94,88.13,85.44,85.56,85.56,311874,0.0,1.0
2019-09-20,88.38,89.33,86.43,87.94,87.94,531637,0.0,1.0
2019-09-19,87.13,89.92,87.13,88.42,88.42,359153,0.0,1.0
2019-09-18,87.66,87.97,86.41,87.26,87.26,197496,0.0,1.0
2019-09-17,88.64,88.655,86.4153,87.9,87.9,270635,0.0,1.0
2019-09-16,89.95,90.5499,88.98,89.8,89.8,359588,0.0,1.0
2019-09-13,90.86,92.035,90.16,91.02,91.02,414870,0.0,1.0
2019-09-12,89.35,90.55,85.66,90.09,90.09,340482,0.0,1.0
2019-09-11,86.35,90.59,85.11,89.35,89.35,1104040,0.0,1.0
2019-09-10,82.08,86.73,81.88,85.84,85.84,437364,0.0,1.0
2019-09-09,79.17,82.16,78.21,82.1,82.1,483446,0.0,1.0
2019-09-06,79.09,79.2,77.775,78.48,78.48,261130,0.0,1.0
2019-09-05,76.66,79.94,76.65,78.94,78.94,362321,0.0,1.0
2019-09-04,74.67,75.33,73.93,74.66,74.66,260700,0.0,1.0
2019-09-03,75.47,75.72,72.5868,73.16,73.16,149953,0.0,1.0
2019-08-30,77.24,77.67,75.82,76.17,76.17,298930,0.0,1.0
2019-08-29,76.16,77.18,76.05,76.45,76.45,220064,0.0,1.0
2019-08-28,73.4,75.41,72.84,74.63,74.63,126795,0.0,1.0
2019-08-27,75.64,76.2571,73.26,73.65,73.65,238675,0.0,1.0
2019-08-26,75.59,75.62,73.96,74.5,74.5,202361,0.0,1.0
2019-08-23,78.67,78.89,74.0,74.29,74.29,317290,0.0,1.0
2019-08-22,79.3,80.29,78.69,79.62,79.62,360588,0.0,1.0
2019-08-21,77.2,79.3,76.16,79.13,79.13,331523,0.0,1.0
2019-08-20,76.93,77.36,75.57,75.71,75.71,290266,0.0,1.0
2019-08-19,77.12,78.043,76.73,77.01,77.01,397003,0.0,1.0
2019-08-16,76.22,77.08,75.655,76.33,76.33,502975,0.0,1.0
2019-08-15,78.43,78.43,75.0,75.12,75.12,335817,0.0,1.0
2019-08-14,79.5,79.8,77.49,77.9,77.9,333520,0.0,1.0
2019-08-13,79.5,82.17,78.76,81.49,81.49,501170,0.0,1.0
2019-08-12,81.92,82.14,79.2,79.5,79.5,585401,0.0,1.0
2019-08-09,86.48,86.7,82.56,82.86,82.86,394321,0.0,1.0
2019-08-08,86.0,87.91,85.73,87.17,87.17,354135,0.0,1.0
2019-08-07,84.61,85.445,83.64,85.12,85.12,216893,0.0,1.0
2019-08-06,85.83,86.85,84.76,85.98,85.98,275866,0.0,1.0
2019-08-05,91.55,91.55,84.11,85.11,85.11,568685,0.0,1.0
2019-08-02,95.29,95.43,93.4,93.59,93.59,390620,0.0,1.0
2019-08-01,98.54,100.47,95.83,96.23,96.23,304337,0.0,1.0
2019-07-31,100.0,101.36,98.1,98.54,98.54,368542,0.0,1.0
2019-07-30,97.67,100.72,96.5,100.4,100.4,312398,0.0,1.0
2019-07-29,100.11,101.08,97.98,98.7,98.7,451192,0.0,1.0
2019-07-26,101.0,102.08,99.105,100.2,100.2,510314,0.0,1.0
2019-07-25,103.81,104.76,93.52,100.4,100.4,874378,0.0,1.0
2019-07-24,101.29,104.5,100.98,104.28,104.28,334175,0.0,1.0
2019-07-23,100.35,102.19,99.645,101.66,101.66,327696,0.0,1.0
2019-07-22,101.68,101.99,99.7127,99.84,99.84,315574,0.0,1.0
2019-07-19,100.87,102.27,99.63,101.23,101.23,378954,0.0,1.0
2019-07-18,102.53,103.7,101.6,103.0,103.0,232064,0.0,1.0
2019-07-17,102.53,102.65,100.82,101.29,101.29,205743,0.0,1.0
2019-07-16,101.41,103.35,101.1,102.77,102.77,135717,0.0,1.0
2019-07-15,103.34,104.125,101.13,101.42,101.42,158853,0.0,1.0
2019-07-12,101.36,103.71,100.6,103.18,103.18,145323,0.0,1.0
2019-07-11,100.33,102.185,100.28,101.23,101.23,229340,0.0,1.0
2019-07-10,102.79,102.95,100.26,100.34,100.34,184784,0.0,1.0
2019-07-09,102.03,103.27,100.9,102.22,102.22,124095,0.0,1.0
2019-07-08,103.11,104.47,102.39,102.88,102.88,170952,0.0,1.0
2019-07-05,102.54,103.97,101.34,103.87,103.87,82578,0.0,1.0
2019-07-03,103.65,104.12,102.61,103.58,103.58,66523,0.0,1.0
2019-07-02,107.44,107.44,102.17,103.27,103.27,253247,0.0,1.0
2019-07-01,106.7,108.2,105.95,107.57,107.57,443225,0.0,1.0
2019-06-28,100.94,105.25,100.34,105.17,105.17,641364,0.0,1.0
2019-06-27,96.53,100.62,96.53,100.37,100.37,287564,0.0,1.0
2019-06-26,96.55,97.47,95.76,96.22,96.22,178582,0.0,1.0
2019-06-25,97.03,97.03,95.34,95.92,95.92,209874,0.0,1.0
2019-06-24,95.61,97.23,95.26,96.86,96.86,290266,0.0,1.0
2019-06-21,94.55,96.38,94.3,95.52,95.52,559479,0.0,1.0
2019-06-20,95.59,95.75,94.33,95.31,95.31,241299,0.0,1.0
2019-06-19,94.37,94.76,92.05,94.35,94.35,225548,0.0,1.0
2019-06-18,91.69,95.04,91.49,94.41,94.41,188410,0.0,1.0
2019-06-17,90.23,92.035,89.48,91.02,91.02,256203,0.0,1.0
2019-06-14,92.0,92.335,89.895,90.21,90.21,251456,0.0,1.0
2019-06-13,93.02,93.54,92.0,92.56,92.56,141670,0.0,1.0
2019-06-12,91.78,92.8,90.62,92.33,92.33,196820,0.0,1.0
2019-06-11,93.33,94.48,91.31,92.0,92.0,228482,0.0,1.0
2019-06-10,91.0,93.3,90.25,92.22,92.22,235022,0.0,1.0
2019-06-07,91.27,91.635,89.8445,90.36,90.36,181773,0.0,1.0
2019-06-06,92.05,92.17,89.88,91.04,91.04,254653,0.0,1.0
2019-06-05,92.87,92.87,91.21,92.15,92.15,234343,0.0,1.0
2019-06-04,89.1,92.1,88.27,92.04,92.04,318788,0.0,1.0
2019-06-03,87.71,88.335,86.51,87.87,87.87,279741,0.0,1.0
2019-05-31,87.62,88.82,87.09,87.7,87.7,387151,0.0,1.0
2019-05-30,89.15,89.9,87.4,88.82,88.82,282806,0.0,1.0
2019-05-29,87.63,89.6625,87.43,89.07,89.07,280223,0.0,1.0
2019-05-28,88.88,89.94,87.66,88.72,88.72,261877,0.0,1.0
2019-05-24,86.85,87.98,84.74,87.43,87.43,275559,0.0,1.0
2019-05-23,87.7,88.4,84.94,86.26,86.26,262750,0.0,1.0
2019-05-22,90.03,90.66,88.97,89.23,89.23,172939,0.0,1.0
2019-05-21,89.91,91.87,89.32,90.53,90.53,270687,0.0,1.0
2019-05-20,90.1,90.3897,88.25,89.41,89.41,255204,0.0,1.0
2019-05-17,91.46,92.64,90.63,91.28,91.28,376116,0.0,1.0
2019-05-16,92.58,93.93,92.13,92.73,92.73,286904,0.0,1.0
2019-05-15,92.04,93.86,92.04,92.31,92.31,287157,0.0,1.0
2019-05-14,92.97,94.785,91.91,93.79,93.79,249699,0.0,1.0
2019-05-13,95.47,95.57,92.3,92.63,92.63,273847,0.0,1.0
2019-05-10,97.51,98.85,95.79,98.03,98.03,242792,0.0,1.0
2019-05-09,99.06,99.06,96.75,98.18,98.18,305483,0.0,1.0
2019-05-08,102.55,103.34,100.11,100.2,100.2,266947,0.0,1.0
2019-05-07,102.12,104.19,100.465,102.98,102.98,285034,0.0,1.0
2019-05-06,102.15,104.43,101.71,103.7,103.7,337385,0.0,1.0
2019-05-03,102.46,104.64,99.77,104.49,104.49,545525,0.0,1.0
2019-05-02,110.95,110.95,100.1695,102.45,102.45,708605,0.0,1.0
2019-05-01,115.69,115.88,110.66,110.79,110.79,256080,0.0,1.0
2019-04-30,115.38,115.38,113.41,115.01,115.01,182773,0.0,1.0
2019-04-29,115.37,116.4444,113.8,114.96,114.96,195295,0.0,1.0
2019-04-26,112.76,116.8798,111.44,115.15,115.15,215273,0.0,1.0
2019-04-25,113.09,113.78,110.12,112.53,112.53,301248,0.0,1.0
2019-04-24,114.0,114.71,113.09,113.53,113.53,240031,0.0,1.0
2019-04-23,110.93,114.27,110.04,113.58,113.58,243398,0.0,1.0
2019-04-22,110.61,110.66,109.73,110.63,110.63,146315,0.0,1.0
2019-04-18,111.6,113.18,110.025,110.94,110.94,131731,0.0,1.0
2019-04-17,113.7,113.95,111.58,111.94,111.94,164729,0.0,1.0
2019-04-16,113.04,113.8,112.45,113.34,113.34,149562,0.0,1.0
2019-04-15,114.3,114.73,112.14,112.7,112.7,151403,0.0,1.0
2019-04-12,114.24,115.36,112.8517,114.08,114.08,180789,0.0,1.0
2019-04-11,113.55,114.42,112.125,113.09,113.09,109139,0.0,1.0
2019-04-10,113.06,114.12,111.88,113.6,113.6,140050,0.0,1.0
2019-04-09,115.0,115.6,112.15,112.67,112.67,219296,0.0,1.0
2019-04-08,113.63,116.27,112.46,115.77,115.77,215439,0.0,1.0
2019-04-05,112.4,113.93,112.02,113.73,113.73,146666,0.0,1.0
2019-04-04,113.11,114.49,111.21,112.08,112.08,201427,0.0,1.0
2019-04-03,111.23,112.83,110.24,112.74,112.74,288055,0.0,1.0
2019-04-02,109.85,110.0758,108.4,109.92,109.92,224662,0.0,1.0
2019-04-01,106.97,109.75,106.32,109.65,109.65,264729,0.0,1.0
2019-03-29,108.41,109.01,104.835,105.61,105.61,312982,0.0,1.0
2019-03-28,104.93,108.0,104.55,107.64,107.64,188526,0.0,1.0
2019-03-27,106.94,107.84,103.735,104.53,104.53,230782,0.0,1.0
2019-03-26,108.12,109.89,106.32,107.44,107.44,320684,0.0,1.0
2019-03-25,103.32,107.31,103.18,106.55,106.55,318286,0.0,1.0
2019-03-22,106.18,107.0,101.99,103.71,103.71,315202,0.0,1.0
2019-03-21,104.15,107.48,104.15,107.19,107.19,559514,0.0,1.0
2019-03-20,104.9,106.88,103.71,104.92,104.92,291021,0.0,1.0
2019-03-19,107.47,108.38,104.35,104.98,104.98,532058,0.0,1.0
2019-03-18,101.66,107.08,101.66,106.94,106.94,806574,0.0,1.0
2019-03-15,104.25,104.56,101.17,101.18,101.18,7874474,0.0,1.0
2019-03-14,105.69,107.0,103.57,104.12,104.12,444695,0.0,1.0
2019-03-13,108.68,109.0,104.69,105.34,105.34,754178,0.0,1.0
2019-03-12,112.13,112.21,109.8,111.42,111.42,337976,0.0,1.0
2019-03-11,110.84,112.35,109.62,111.87,111.87,189928,0.0,1.0
2019-03-08,110.25,111.02,109.22,110.4,110.4,184985,0.0,1.0
2019-03-07,114.96,114.96,111.245,111.38,111.38,339760,0.0,1.0
2019-03-06,115.65,116.665,114.22,114.88,114.88,253935,0.0,1.0
2019-03-05,115.11,116.7,114.1701,115.74,115.74,161291,0.0,1.0
2019-03-04,116.09,116.92,113.665,114.87,114.87,295824,0.0,1.0
2019-03-01,115.7,117.42,115.04,116.81,116.81,208032,0.0,1.0
2019-02-28,114.82,115.6,113.8575,115.22,115.22,205974,0.0,1.0
2019-02-27,113.33,115.56,113.0,115.14,115.14,200562,0.0,1.0
2019-02-26,114.28,115.165,113.845,113.9,113.9,199639,0.0,1.0
2019-02-25,116.35,116.43,113.9,114.99,114.99,262031,0.0,1.0
2019-02-22,114.98,115.43,112.81,114.87,114.87,352050,0.0,1.0
2019-02-21,117.24,120.41,113.455,114.01,114.01,270935,0.0,1.0
2019-02-20,112.65,117.13,112.65,117.07,117.07,306301,0.0,1.0
2019-02-19,110.8,113.89,110.6305,113.1,113.1,363597,0.0,1.0
2019-02-15,109.0,111.77,106.47,111.18,111.18,490594,0.0,1.0
2019-02-14,106.81,112.0,106.26,107.87,107.87,1131781,0.0,1.0
2019-02-13,99.36,100.1664,96.7,97.0,97.0,302711,0.0,1.0
2019-02-12,96.11,98.48,94.97,98.25,98.25,237550,0.0,1.0
2019-02-11,92.65,95.185,91.5941,95.05,95.05,205189,0.0,1.0
2019-02-08,91.69,92.5,90.9504,92.17,92.17,175925,0.0,1.0
2019-02-07,95.02,95.34,92.94,93.16,93.16,156324,0.0,1.0
2019-02-06,95.9,97.1,95.58,96.0,96.0,131558,0.0,1.0
2019-02-05,96.65,97.49,95.8,96.15,96.15,141732,0.0,1.0
2019-02-04,94.86,96.56,94.4729,96.37,96.37,143623,0.0,1.0
2019-02-01,93.88,95.37,93.3,95.19,95.19,118914,0.0,1.0
2019-01-31,92.27,94.37,92.075,94.07,94.07,123768,0.0,1.0
2019-01-30,92.09,93.32,90.49,93.16,93.16,124366,0.0,1.0
2019-01-29,91.41,92.5,91.36,91.44,91.44,145765,0.0,1.0
2019-01-28,89.96,92.32,89.96,91.5,91.5,136496,0.0,1.0
2019-01-25,89.46,92.1,89.37,91.61,91.61,116297,0.0,1.0
2019-01-24,88.25,89.975,88.155,88.53,88.53,132844,0.0,1.0
2019-01-23,91.5,91.805,87.7,88.14,88.14,193355,0.0,1.0
2019-01-22,92.13,92.84,89.81,90.84,90.84,207948,0.0,1.0
2019-01-18,90.59,93.89,90.0911,92.78,92.78,212710,0.0,1.0
2019-01-17,87.6,90.21,87.25,89.65,89.65,200182,0.0,1.0
2019-01-16,86.54,88.65,86.54,88.31,88.31,164247,0.0,1.0
2019-01-15,85.92,86.97,85.42,86.19,86.19,112996,0.0,1.0
2019-01-14,87.16,88.15,86.15,86.24,86.24,141295,0.0,1.0
2019-01-11,87.23,89.67,87.23,88.23,88.23,174781,0.0,1.0
2019-01-10,85.8,88.59,85.4155,88.37,88.37,143415,0.0,1.0
2019-01-09,86.93,87.935,85.73,86.47,86.47,185833,0.0,1.0
2019-01-08,85.5,86.28,84.94,86.22,86.22,104538,0.0,1.0
2019-01-07,83.82,86.32,83.75,84.17,84.17,158216,0.0,1.0
2019-01-04,81.1,84.33,80.91,83.99,83.99,233165,0.0,1.0
2019-01-03,83.06,83.74,79.51,79.69,79.69,158737,0.0,1.0
2019-01-02,82.27,85.35,81.65,84.02,84.02,214367,0.0,1.0
2018-12-31,82.85,83.69,82.29,83.69,83.69,211361,0.0,1.0
2018-12-28,82.5,83.67,81.12,82.09,82.09,269315,0.0,1.0
2018-12-27,77.67,82.03,76.5,81.92,81.92,222969,0.0,1.0
2018-12-26,76.28,79.67,74.98,79.63,79.63,254144,0.0,1.0
2018-12-24,76.79,77.75,75.34,75.51,75.51,108295,0.0,1.0
2018-12-21,80.32,81.36,77.26,77.79,77.79,784261,0.0,1.0
2018-12-20,79.29,81.39,77.96,80.06,80.06,318413,0.0,1.0
